"category","orders","revenue","revenue_share_pct","avg_price","avg_freight","freight_to_price_pct"
"health_beauty","8757","1432213.38","9.1","130.53","18.89","14.5"
"watches_gifts","5599","1294824.43","8.3","200.31","16.76","8.4"
"bed_bath_table","9394","1239779.55","7.9","93.38","18.42","19.7"
"sports_leisure","7656","1144753.87","7.3","114.05","19.48","17.1"
"computers_accessories","6636","1049201.49","6.7","116.36","18.85","16.2"
"furniture_decor","6373","892437.53","5.7","87.69","20.76","23.7"
"housewares","5838","770492.60","4.9","90.62","21.00","23.2"
"cool_stuff","3609","702849.36","4.5","164.30","22.04","13.4"
"auto","3863","676854.18","4.3","139.49","21.85","15.7"
"garden_tools","3500","578060.01","3.7","110.95","22.76","20.5"
