"customer_state","delivered_orders","avg_delivery_days","late_pct"
"AL","396","24.5","24.0"
"MA","713","21.5","19.6"
"PI","475","19.4","16.0"
"SE","332","21.4","15.4"
"CE","1273","21.2","15.4"
"BA","3253","19.3","14.0"
"RJ","12310","15.3","13.5"
"TO","274","17.7","12.8"
"RR","40","29.9","12.5"
"PA","942","23.8","12.4"
"ES","1992","15.8","12.2"
"MS","701","15.6","11.6"
"PB","516","20.4","11.0"
"RN","470","19.2","10.9"
"PE","1587","18.4","10.8"
"SC","3537","14.9","9.8"
"GO","1950","15.6","8.2"
"RS","5327","15.3","7.2"
"DF","2074","12.9","7.1"
"MT","885","18.1","6.8"
"SP","40399","8.7","5.9"
"MG","11319","12.0","5.6"
"PR","4903","12.0","5.0"
"AP","67","27.2","4.5"
"AM","145","26.4","4.1"
"AC","80","21.0","3.8"
"RO","243","19.4","2.9"
